id,name,gender,birth,nationality
10093,"Abakanowicz, Magdalena",Female,1930,Poland
0,"Abbey, Edwin Austin",Male,1852,United States
2756,"Abbott, Berenice",Female,1898,United States
1,"Abbott, Lemuel Francis",Male,1760,United Kingdom
622,"Abrahams, Ivor",Male,1935,United Kingdom
2606,Absalon,Male,1964,Israel
9550,"Abts, Tomma",Female,1967,Germany
623,"Acconci, Vito",Male,1940,United States
624,"Ackling, Roger",Male,1947,United Kingdom
625,"Ackroyd, Norman",Male,1938,United Kingdom
2411,"Adam, Robert",Male,1728,United Kingdom
626,"Adams, Harry William",Male,1868,United Kingdom
627,"Adams, Norman",Male,1927,United Kingdom
628,"Adams, Robert",Male,1917,United Kingdom
629,"Adeney, Bernard",Male,1878,United Kingdom
630,"Adler, Jankel",Male,1895,Poland
2608,"Adshead, Mary",Female,1904,United Kingdom
631,"Adzak, Roy",Male,1927,United Kingdom
632,Afro,Male,1912,Italy
633,"Agar, Eileen",Female,1899, Argentina
2,"Agasse, Jacques Laurent",Male,1767,Switzerland
3098,"Ahtila, Eija-Liisa",Female,1959, Suomi
8208,"Ai, Weiwei",Male,1957,China
634,"Aitchison, Craigie",Male,1926,United Kingdom
635,"Ajmone, Giuseppe",Male,1923,Italy
14744,"Aksel, Erdag",Male,1953,Turkey
7794,"Al-Ani, Jananne",Female,1966,Iraq
3067,"Albers, Anni",Female,1899,Germany
636,"Albers, Josef",Male,1888,Germany
637,"Albright, Ivan",Male,1897,United States
638,"Aldridge, John",Male,1905,United Kingdom
639,"Alechinsky, Pierre",Male,1927,Belgium
640,"Alexander, Edwin",Male,1870,United Kingdom
2470,"Alexander, William",Male,1767,United Kingdom
11315,"Alimpiev, Victor",Male,1973,Russia
2472,Alken Family,Male,1756,United Kingdom
3,"Alken, Henry Thomas",Male,1785,United Kingdom
2471,"Alken, Samuel, Senior",Male,1756,United Kingdom
2473,"Allan, David",Male,1744,United Kingdom
641,"Allan, Julian Phelps",Female,1892,United Kingdom
4,"Allan, Sir William",Male,1782,United Kingdom
2304,"Allen, George Warner",Male,1916,France
5,"Allen, Joseph William",Male,1803,United Kingdom
12153,"Allen, Phillip",Male,1967,United Kingdom
12520,"Allen, Richard",Male,1933,United Kingdom
642,"Alley, Anthea",Female,1927,Malaysia
643,"Allington, Edward",Male,1951,United Kingdom
644,"Allinson, Adrian",Male,1890,United Kingdom
2273,"Allom, Thomas",Male,1804,United Kingdom
6259,"Allora, Jennifer",Female,1974,United States
6,"Alma-Tadema, Sir Lawrence",Male,1836, Nederland
12989,"Almeida, Helena",Female,1934,Portugal
2657,"Almond, Darren",Male,1971,United Kingdom
7620,"Althamer, Pawel",Male,1967,Poland
645,"Altoon, John",Male,1925,United States
4427,"Alÿs, Francis",Male,1959,Belgium
7,"Amiconi, Giacomo",Male,1682,Italy
646,"Amiet, Cuno",Male,1868,
7533,"Amorales, Carlos",Male,1970, México
647,"Amuchastegui, Axel",Male,1921,Spain
14647,"Amzalag, Michael",Male,1967,France
12583,"Anderson, Hurvin",Male,1965,United Kingdom
8,"Anderton, Henry",Male,1630,
8961,"Andrade Tudela, Armando",Male,1975, Perú
15587,"Andrade, Jonathas de",Male,1982, Brasil
648,"Andre, Carl",Male,1935,United States
2704,"Andreenko, Michel",Male,1894,Ukraine
649,"Andrews, Michael",Male,1928,United Kingdom
9,"Angellis, Peter",Male,1685,France
650,"Annesley, David",Male,1936,United Kingdom
5221,Anonymous,,,
651,"Anquetin, Louis",Male,1861,France
652,"Anrep, Boris",Male,1883,Russia
13677,"Ansarinia, Nazgol",Female,1979, Îran
10,"Ansdell, Richard",Male,1815,United Kingdom
12475,"Anselmo, Giovanni",Male,1934,Italy
15135,"Ant Farm (Chip Lord, born 1944, Doug Michels, 1943-2003, Curtis Schreier, born 1944)",Male,,
11604,"Antin, Eleanor",Female,1935,United States
653,"Anuszkiewicz, Richard",Male,1930,United States
10241,"Apóstol, Alexander",Male,1969, Venezuela
654,"Appel, Karel",Male,1921, Nederland
655,"Appelbee, Leonard",Male,1914,United Kingdom
656,"Appleyard, Fred",Male,1874,United Kingdom
2364,"Araeen, Rasheed",Male,1935, Pakistan
657,"Arakawa, Shusaku",,1936,Japan
2752,"Araki, Nobuyoshi",Male,1940,Japan
10494,"Araujo, Juan",Male,1971, Venezuela
5271,"Arbus, Diane",Female,1923,
12604,"Arcangel, Cory",Male,1978,United States
658,"Archipenko, Alexander",Male,1887,Ukraine
659,"Ardizzone, Edward",Male,1900, Viet Nam
660,"Ardon, Mordecai",Male,1896,Poland
661,"Arikha, Avigdor",Male,1929,Romania
662,Arman,Male,1928,France
663,"Armfield, Maxwell Ashby",Male,1881,United Kingdom
11,"Armitage, Edward",Male,1817,United Kingdom
664,"Armitage, Kenneth",Male,1916,United Kingdom
12,"Armstead, Henry Hugh",Male,1828,United Kingdom
